Time Stamp,Port MDE Make,Port MDE Hoursepower,Port MDE Install/Overhual Date,STBD MDE Make,STBD MDE Hoursepower,STBD MDE Install/Overhual Date,Misc MDE1 Make,Misc MDE1 Hoursepower,Misc MDE1 Install/Overhual Date,Misc MDE2 Make,Misc MDE2 Hoursepower,Misc MDE2 Install/Overhual Date,Port RG Make,Port RG Ratio,Port RG Install/Overhual Date,STBD RG Make,STBD RG Ratio,STBD RG Install/Overhual Date,Misc RG1 Make,Misc RG1 Ratio,Misc RG1 Install/Overhual Date,Misc RG2 Make,Misc RG2 Ratio,Misc RG2 Install/Overhual Date,Number of Shafts,Drive Type
11:40.7,CAT 3406,400,null,CAT 3406,400,null,,,null,,,null,Twin Disc 516,6:01,null,Twin Disc 516,6:01,null,,,null,,,null,2,Reduction
2023-12-31 06:42:40.693,CAT 3406,400,null,CAT 3406,400,null,,,null,,,null,Twin Disc 516,6:01,null,Twin Disc 516,6:01,null,,,null,,,null,2,Reduction,
2023-12-31 06:46:21.803,CAT 3406,400,null,CAT 3406,400,null,Paxman,3600,2017-12-12,,,null,Twin Disc 516,6:01,null,Twin Disc 516,6:01,null,,,null,,,null,2,Reduction,
2023-12-31 06:46:36.279,CAT 3406,400,null,CAT 3406,400,null,,,null,,,null,Twin Disc 516,6:01,null,Twin Disc 516,6:01,null,,,null,,,null,2,Reduction,
2024-01-01 07:39:54.171,CAT 3406,400,null,CAT 3406,400,null,,,null,,,null,Twin Disc 516,6:01,null,Twin Disc 516,6:01,null,,,null,,,null,2,Reduction,
2024-01-01 08:05:31.381,CAT 3406,400,null,CAT 3406,400,null,,,null,,,null,Twin Disc 516,6:01,null,Twin Disc 516,6:01,null,,,null,,,null,2,Reduction,
